Gene symbol	RT-R-MDA-MB-231
MAGI3	324
PHTF1	71
RSBN1	504
AP4B1-AS1	0
PTPN22	3
BCL2L15	5
AP4B1	142
DCLRE1B	114
HIPK1-AS1	17
HIPK1	440
OLFML3	33
SYT6	2
TRIM33	1049
BCAS2	368
DENND2C	1
AMPD1	0
NRAS	1651
CSDE1	15444
SIKE1	345
SYCP1	0
TSHB	0
TSPAN2	27
NGF	34
VANGL1	300
CASQ2	0
NHLH2	1
LOC101928995	0
LOC101928977	0
SLC22A15	198
MAB21L3	9
ATP1A1	5886
ATP1A1-AS1	2380
LOC101929023	0
CD58	134
IGSF3	220
C1orf137	0
CD2	0
PTGFRN	34
CD101	1
LOC101929099	0
TTF2	187
TRIM45	68
VTCN1	0
LINC01525	0
MAN1A2	817
LOC100996263	0
FAM46C	30
GDAP2	144
WDR3	434
SPAG17	6
TBX15	16
WARS2	121
WARS2-IT1	0
LOC101929147	48
HAO2	0
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	20
LINC00622	19
ZNF697	172
PHGDH	228
HMGCS2	0
REG4	0
NBPF7	3
ADAM30	0
NOTCH2	620
FAM72B	397
HIST2H2BA	1
FCGR1B	1
SRGAP2-AS1	0
SRGAP2B	19
SRGAP2D	82
EMBP1	16
ANKRD20A12P	1
LOC102723769	0
RNU1-13P	4
LOC100132057	16
LINC01138	47
PPIAL4G	18
FAM72D	419
FAM72C	803
NBPF20	310
LINC00623	246
LINC00869	112
PPIAL4A	17
PPIAL4C	18
PFN1P2	8
NBPF9	628
NBPF8	521
LOC653513	0
PDE4DIP	97
SEC22B	291
NOTCH2NL	235
NBPF25P	1999
NBPF10	109
LOC101928979	2
HFE2	0
TXNIP	1578
POLR3GL	677
ANKRD34A	42
LIX1L	1025
RBM8A	3147
GNRHR2	6
PEX11B	97
ITGA10	9
ANKRD35	0
PIAS3	380
NUDT17	40
POLR3C	279
RNF115	493
CD160	29
PDZK1	21
GPR89A	224
PDZK1P1	2
NBPF11	487
NBPF12	6
LOC728989	0
RNVU1-8	0
NBPF13P	0
PRKAB2	175
PDIA3P1	184
FMO5	8
CHD1L	692
LINC00624	0
BCL9	147
ACP6	134
GJA5	0
GJA8	0
GPR89B	94
LOC101927468	0
RNVU1-19	6
PPIAL4F	22
PPIAL4D	6
PPIAL4E	6
NBPF14	693
NBPF15	686
LOC101060524	0
DRD5P2	0
LOC645166	117
LOC388692	1
FAM231D	29
FCGR1C	0
LOC103091866	29
RNVU1-20	35
HIST2H2BF	8
FCGR1A	4
HIST2H3D	0
HIST2H4B	3
HIST2H4A	11
HIST2H3C	9
HIST2H3A	5
HIST2H2AA3	158
HIST2H2AA4	325
HIST2H2BC	5
HIST2H2BE	32
HIST2H2AC	66
HIST2H2AB	9
BOLA1	45
SV2A	1
SF3B4	386
MTMR11	84
OTUD7B	254
VPS45	117
PLEKHO1	859
ANP32E	3247
CA14	2
APH1A	7114
C1orf54	7
CIART	21
MRPS21	992
PRPF3	460
RPRD2	571
TARS2	217
ECM1	71
FALEC	5
ADAMTSL4	45
ADAMTSL4-AS1	19
MCL1	6508
ENSA	2946
GOLPH3L	278
HORMAD1	1
CTSS	142
CTSK	20
ARNT	465
SETDB1	509
CERS2	2367
ANXA9	3
FAM63A	27
PRUNE	409
BNIPL	4
C1orf56	1249
CDC42SE1	1396
MLLT11	51
GABPB2	31
SEMA6C	33
TNFAIP8L2-SCNM1	364
TNFAIP8L2	1
LYSMD1	43
SCNM1	36
TMOD4	12
VPS72	1050
PIP5K1A	965
PSMD4	3466
ZNF687	390
PI4KB	621
RFX5	143
GBAT2	3
SELENBP1	83
PSMB4	1408
POGZ	920
CGN	43
TUFT1	593
SNX27	263
CELF3	0
RIIAD1	3
MRPL9	625
OAZ3	13
TDRKH	56
LINGO4	0
RORC	0
C2CD4D	4
LOC100132111	0
THEM5	0
THEM4	154
S100A10	3499
NBPF18P	0
S100A11	1883
LOC100131107	0
TCHHL1	0
TCHH	12
RPTN	0
HRNR	5
FLG	116
FLG-AS1	37
FLG2	0
CRNN	0
LCE5A	0
CRCT1	1
LCE3E	0
LCE3D	0
LCE3C	0
LCE3B	0
LCE3A	0
LCE2D	0
LCE2C	0
LCE2B	0
LCE2A	0
LCE4A	0
C1orf68	0
KPRP	0
LCE1F	0
LCE1E	0
LCE1D	0
LCE1C	0
LCE1B	0
LCE1A	0
LCE6A	0
SMCP	0
IVL	0
SPRR4	0
SPRR1A	0
SPRR3	0
SPRR1B	0
SPRR2D	4
SPRR2A	1
SPRR2B	0
SPRR2E	0
SPRR2F	0
SPRR2C	0
SPRR2G	0
LOC101928009	0
LELP1	0
PRR9	0
LOR	0
PGLYRP3	0
PGLYRP4	0
S100A9	0
S100A12	0
S100A8	0
S100A7A	0
S100A7L2	0
S100A7	1
S100A6	77083
S100A5	10
S100A4	4122
LOC101928034	0
S100A3	160
S100A2	826
S100A16	2657
S100A14	9
S100A13	3500
S100A1	0
CHTOP	1096
SNAPIN	798
ILF2	2019
NPR1	16
INTS3	31
SLC27A3	112
LOC343052	0
GATAD2B	551
DENND4B	243
CRTC2	589
SLC39A1	2827
CREB3L4	142
JTB	1844
RAB13	1856
RPS27	950
NUP210L	1
TPM3	2891
C1orf189	7
C1orf43	2782
UBAP2L	910
HAX1	1536
AQP10	0
ATP8B2	125
IL6R	210
SHE	1
TDRD10	0
UBE2Q1	623
UBE2Q1-AS1	0
CHRNB2	8
ADAR	1355
KCNN3	219
PMVK	267
PBXIP1	272
PYGO2	926
SHC1	894
CKS1B	5266
FLAD1	150
LENEP	0
ZBTB7B	67
DCST2	1
DCST1	1
LOC100505666	11
ADAM15	2967
EFNA4	162
EFNA3	60
EFNA1	134
SLC50A1	884
DPM3	399
KRTCAP2	996
TRIM46	0
MUC1	99
THBS3	46
MTX1	144
GBAP1	293
GBA	277
FAM189B	370
SCAMP3	352
CLK2	171
HCN3	0
PKLR	50
FDPS	2317
RUSC1-AS1	2257
RUSC1	376
ASH1L	627
POU5F1P4	0
ASH1L-AS1	31
MSTO1	244
MSTO2P	244
YY1AP1	765
DAP3	1092
GON4L	433
SYT11	12
RIT1	602
KIAA0907	785
SNORA80E	7
SCARNA4	6
RXFP4	0
ARHGEF2	961
SSR2	1805
UBQLN4	141
LAMTOR2	802
RAB25	0
MEX3A	230
LMNA	3586
SEMA4A	1
SLC25A44	585
PMF1	159
PMF1-BGLAP	8
BGLAP	0
PAQR6	192
SMG5	205
TMEM79	49
GLMP	725
VHLL	0
CCT3	2017
TSACC	38
RHBG	4
C1orf61	0
MEF2D	687
IQGAP3	449
TTC24	0
APOA1BP	662
GPATCH4	1161
HAPLN2	4
BCAN	4
NES	98
CRABP2	35
ISG20L2	1203
RRNAD1	56
MRPL24	2056
HDGF	5750
PRCC	213
SH2D2A	86
NTRK1	6
INSRR	0
PEAR1	239
LRRC71	6
ARHGEF11	228
ETV3L	6
ETV3	6
CYCSP52	0
FCRL5	0
FCRL4	0
FCRL3	0
FCRL2	0
FCRL1	1
CD5L	0
KIRREL	83
LOC646268	0
CD1D	0
CD1A	0
CD1C	0
CD1B	1
CD1E	0
OR10T2	0
OR10K2	0
