Gene,Control,Resistant,Log2FoldChange,p-value
ZBTB40,148,184,0.3122129400541507,1.8141818536665456e-14
EPHB2,508,910,0.8397853977263554,1.8141818536665456e-14
KDM1A,220,168,-0.38702312310924736,1.8141818536665456e-14
LUZP1,382,535,0.48488860853281546,1.8141818536665456e-14
HTR1D,6,12,0.8930847960834881,1.8141818536665456e-14
LINC01355,12,18,0.5474877953024933,1.8141818536665456e-14
HNRNPR,1047,1217,0.21687541636888216,1.8141818536665456e-14
ZNF436,29,34,0.22239242133644802,1.8141818536665456e-14
ZNF436-AS1,23,28,0.27301849440641585,1.8141818536665456e-14
TCEA3,245,249,0.023269779322847295,1.8141818536665456e-14
ASAP3,55,63,0.19264507794239583,1.8141818536665456e-14
E2F2,81,90,0.1502426355806127,1.8141818536665456e-14
ID3,288,423,0.5529947720625205,1.8141818536665456e-14
RPL11,4468,6793,0.6043091734841909,1.8141818536665456e-14
TCEB3,484,762,0.6536983097600404,1.8141818536665456e-14
TCEB3-AS1,13,24,0.8365012677171206,1.8141818536665456e-14
PITHD1,276,339,0.2956487700885133,1.8141818536665456e-14
LYPLA2,1089,1588,0.5437909896842303,1.8141818536665456e-14
GALE,580,798,0.459657339523448,1.8141818536665456e-14
HMGCL,62,141,1.1724671960047657,1.8141818536665456e-14
FUCA1,341,666,0.9636904362986871,1.8141818536665456e-14
PNRC2,204,306,0.5826147458647334,1.8141818536665456e-14
SRSF10,696,964,0.46937028628701966,1.8141818536665456e-14
MYOM3,2,0,-1.5849625007211563,1.8141818536665456e-14
IL22RA1,14,11,-0.3219280948873623,1.8141818536665456e-14
IFNLR1,30,55,0.8531586116707288,1.8141818536665456e-14
LOC284632,0,1,1.0,1.8141818536665456e-14
GRHL3,0,1,1.0,1.8141818536665456e-14
STPG1,62,130,1.0561430780375338,1.8141818536665456e-14
NIPAL3,455,667,0.5508142783093104,1.8141818536665456e-14
RCAN3AS,1,4,1.3219280948873624,1.8141818536665456e-14
RCAN3,45,35,-0.35363695461470046,1.8141818536665456e-14
NCMAP,13,9,-0.4854268271702417,1.8141818536665456e-14
SRRM1,1694,1679,-0.01282404035758362,1.8141818536665456e-14
CLIC4,794,1529,0.9445048874082964,1.8141818536665456e-14
RUNX3,1,10,2.4594316186372973,1.8141818536665456e-14
SYF2,834,1215,0.542295126082171,1.8141818536665456e-14
RSRP1,216,318,0.55586138132039,1.8141818536665456e-14
RHD,4,5,0.2630344058337938,1.8141818536665456e-14
TMEM50A,434,504,0.21526798690306648,1.8141818536665456e-14
RHCE,65,54,-0.2630344058337938,1.8141818536665456e-14
TMEM57,217,232,0.09600181987735378,1.8141818536665456e-14
LDLRAP1,659,642,-0.037647286917868464,1.8141818536665456e-14
MAN1C1,0,18,4.247927513443585,1.8141818536665456e-14
SEPN1,242,227,-0.09192248944103931,1.8141818536665456e-14
MTFR1L,212,159,-0.41278152533847595,1.8141818536665456e-14
LOC646471,5,1,-1.5849625007211563,1.8141818536665456e-14
AUNIP,111,179,0.6844981742720707,1.8141818536665456e-14
PAQR7,179,186,0.05504136355796207,1.8141818536665456e-14
STMN1,5965,5900,-0.01580451933552615,1.8141818536665456e-14
PAFAH2,46,70,0.5951582678270447,1.8141818536665456e-14
EXTL1,1,3,1.0,1.8141818536665456e-14
TRIM63,16,17,0.08246216019197297,1.8141818536665456e-14
PDIK1L,35,46,0.384663850235325,1.8141818536665456e-14
FAM110D,1,9,2.321928094887362,1.8141818536665456e-14
ZNF593,733,648,-0.17756158484407425,1.8141818536665456e-14
CNKSR1,22,11,-0.9385994553358568,1.8141818536665456e-14
LOC101928303,1,2,0.5849625007211562,1.8141818536665456e-14
CEP85,105,145,0.46190410431681794,1.8141818536665456e-14
SH3BGRL3,2370,2364,-0.0036554792552502715,1.8141818536665456e-14
UBXN11,3,4,0.32192809488736235,1.8141818536665456e-14
AIM1L,13,25,0.8930847960834881,1.8141818536665456e-14
LIN28A,1,2,0.5849625007211562,1.8141818536665456e-14
DHDDS,351,544,0.6306808010269915,1.8141818536665456e-14
LOC101928324,3,4,0.32192809488736235,1.8141818536665456e-14
HMGN2,1081,894,-0.27374091167519643,1.8141818536665456e-14
RPS6KA1,267,302,0.1770847930151786,1.8141818536665456e-14
ARID1A,523,618,0.24037259767681438,1.8141818536665456e-14
PIGV,37,64,0.774440299584869,1.8141818536665456e-14
ZDHHC18,195,199,0.02914634565951651,1.8141818536665456e-14
SFN,2577,2822,0.1309768650880419,1.8141818536665456e-14
GPN2,90,69,-0.3785116232537297,1.8141818536665456e-14
GPATCH3,129,128,-0.011140557605200349,1.8141818536665456e-14
NUDC,985,1056,0.10031582500477151,1.8141818536665456e-14
KDF1,0,1,1.0,1.8141818536665456e-14
TRNP1,123,172,0.4804319172498495,1.8141818536665456e-14
FAM46B,33,21,-0.6280312226130421,1.8141818536665456e-14
SLC9A1,113,123,0.1213062962221336,1.8141818536665456e-14
WDTC1,181,202,0.15754127698648002,1.8141818536665456e-14
TMEM222,84,69,-0.28010791919273537,1.8141818536665456e-14
ACTG1P20,92,98,0.09019780897157816,1.8141818536665456e-14
SYTL1,18,21,0.21150410519371182,1.8141818536665456e-14
MAP3K6,69,88,0.34645041402143123,1.8141818536665456e-14
GPR3,42,19,-1.1043366598147357,1.8141818536665456e-14
WASF2,1731,2573,0.5715731234939768,1.8141818536665456e-14
AHDC1,324,331,0.030743523431107856,1.8141818536665456e-14
IFI6,180,333,0.8838584053908468,1.8141818536665456e-14
FAM76A,60,87,0.5286942810744111,1.8141818536665456e-14
STX12,168,216,0.3606717961622949,1.8141818536665456e-14
PPP1R8,240,202,-0.2475534190447854,1.8141818536665456e-14
SCARNA1,0,1,1.0,1.8141818536665456e-14
THEMIS2,35,90,1.3378696387563838,1.8141818536665456e-14
RPA2,752,722,-0.058654217720810316,1.8141818536665456e-14
SMPDL3B,9,23,1.2630344058337937,1.8141818536665456e-14
XKR8,175,150,-0.22102687931221843,1.8141818536665456e-14
