Gene symbol	MDA-MB-231
ROR1	232
ROR1-AS1	16
UBE2U	0
CACHD1	6
RAVER2	84
JAK1	464
LINC01359	1
AK4	887
DNAJC6	82
LEPROT	563
LEPR	73
PDE4B	7
LOC101927139	0
SGIP1	0
TCTEX1D1	0
INSL5	0
WDR78	2
MIER1	363
SLC35D1	124
C1orf141	0
IL23R	0
IL12RB2	0
SERBP1	3311
GADD45A	238
GNG12	439
GNG12-AS1	1
DIRAS3	10
WLS	494
RPE65	0
DEPDC1	471
DEPDC1-AS1	2
LRRC7	0
PIN1P1	1
LRRC40	240
SRSF11	3500
ANKRD13C	178
HHLA3	2
CTH	52
LOC101927244	0
PTGER3	0
ZRANB2-AS1	10
ZRANB2	712
ZRANB2-AS2	1
NEGR1	37
NEGR1-IT1	0
LINC01360	0
LRRIQ3	0
FPGT	68
FPGT-TNNI3K	0
TNNI3K	0
ERICH3	0
ERICH3-AS1	0
CRYZ	326
TYW3	256
LHX8	0
SLC44A5	4
ACADM	191
DLSTP1	345
RABGGTB	198
SNORD45C	0
SNORD45A	3
SNORD45B	0
MSH4	0
ASB17	0
LOC101927342	0
ST6GALNAC3	0
ST6GALNAC5	11
PIGK	169
AK5	9
ZZZ3	317
USP33	844
FAM73A	111
NEXN-AS1	18
NEXN	743
FUBP1	553
DNAJB4	17
GIPC2	0
MGC27382	0
PTGFR	6
IFI44L	8
IFI44	122
ADGRL4	0
LOC101927412	0
LOC101927434	0
ADGRL2	11
LINC01361	0
LOC101927587	1
LOC101927560	0
TTLL7	39
PRKACB	60
SAMD13	6
UOX	0
DNASE2B	0
RPF1	695
GNG5	665
SPATA1	47
CTBS	206
LINC01461	1
LINC01555	0
SSX2IP	261
LPAR3	0
MCOLN2	137
MCOLN3	22
WDR63	0
SYDE2	6
C1orf52	352
BCL10	238
LOC646626	20
DDAH1	688
CYR61	45855
ZNHIT6	514
COL24A1	2
ODF2L	454
CLCA2	6
CLCA1	0
CLCA4	0
CLCA3P	0
SH3GLB1	735
SEP15	1297
HS2ST1	447
LINC01140	3
LOC101927844	0
LMO4	657
LINC01364	0
PKN2-AS1	1
PKN2	308
GTF2B	175
CCBL2	110
RBMXL1	377
GBP3	131
GBP1	244
GBP2	361
GBP7	1
GBP4	21
GBP5	2
LOC729930	2
GBP6	0
GBP1P1	0
LRRC8B	54
FLJ27354	0
LRRC8C	191
LRRC8D	208
GEMIN8P4	7
ZNF326	238
BARHL2	0
ZNF644	276
HFM1	1
CDC7	235
TGFBR3	157
BRDT	0
EPHX4	79
SETSIP	36
BTBD8	0
KIAA1107	11
C1orf146	2
GLMN	87
RPAP2	48
GFI1	8
EVI5	519
RPL5	10952
FAM69A	87
SNORD21	1
SNORA66	1
MTF2	273
TMED5	524
CCDC18	112
LOC100131564	39
DR1	336
FNBP1L	123
BCAR3	945
LOC100129046	1
DNTTIP2	778
GCLM	906
ABCA4	7
ARHGAP29	945
ABCD3	316
F3	2528
LINC01057	1
SLC44A3	2
CNN3	2855
LOC729970	19
ALG14	66
TMEM56	195
TMEM56-RWDD3	0
LOC101928118	3
RWDD3	149
FLJ31662	0
LOC100996635	0
LOC102723661	0
LOC101928241	0
PTBP2	147
DPYD	99
DPYD-AS1	0
DPYD-AS2	3
LOC729987	4
SNX7	803
LPPR5	0
LOC100129620	0
LPPR4	0
LOC101928270	0
PALMD	3
FRRS1	0
AGL	194
SLC35A3	342
HIAT1	369
SASS6	242
TRMT13	66
LRRC39	8
DBT	201
RTCA-AS1	2
RTCA	396
CDC14A	10
GPR88	0
LINC01349	0
VCAM1	1
EXTL2	204
SLC30A7	286
DPH5	422
LOC102606465	37
LOC101928370	2
S1PR1	3
LINC01307	0
RNU6-31P	0
OLFM3	0
DNAJA1P5	0
COL11A1	3
LOC101928436	0
RNPC3	82
AMY2B	26
ACTG1P4	15
AMY2A	0
AMY1A	9
AMY1C	7
AMY1B	14
LOC100129138	3
LOC101928476	1
PRMT6	87
NTNG1	0
VAV3	0
VAV3-AS1	0
SLC25A24	1117
NBPF4	0
NBPF6	1
FAM102B	17
HENMT1	4
PRPF38B	2117
FNDC7	0
STXBP3	27
AKNAD1	4
SPATA42	0
GPSM2	631
CLCC1	1141
WDR47	91
TAF13	106
TMEM167B	301
SCARNA2	7
C1orf194	0
KIAA1324	130
SARS	1251
CELSR2	78
PSRC1	429
MYBPHL	2
SORT1	419
PSMA5	656
SYPL2	23
ATXN7L2	30
CYB561D1	251
AMIGO1	18
GPR61	0
GNAI3	943
GNAT2	0
AMPD2	290
GSTM4	155
GSTM2	57
GSTM1	66
GSTM5	0
GSTM3	700
EPS8L3	0
CSF1	2227
AHCYL1	3356
STRIP1	722
ALX3	0
LINC01397	0
UBL4B	0
SLC6A17	0
KCNC4-AS1	2
KCNC4	5
LOC440600	6
RBM15	198
SLC16A4	23
LAMTOR5	924
LAMTOR5-AS1	0
PROK1	0
CYMP	0
LOC440602	0
KCNA10	0
KCNA2	0
KCNA3	3
CD53	0
LRIF1	246
DRAM2	112
CEPT1	130
DENND2D	10
CHI3L2	5
CHIAP2	0
CHIA	0
PIFO	0
PGCP1	0
OVGP1	8
WDR77	472
ATP5F1	1571
C1orf162	1
TMIGD3	1
ADORA3	0
LINC01160	4
RAP1A	486
FAM212B	16
FAM212B-AS1	0
LOC101928718	1
DDX20	177
KCND3	0
KCND3-IT1	0
KCND3-AS1	0
LOC643355	0
CTTNBP2NL	280
WNT2B	2
ST7L	38
CAPZA1	1366
MOV10	367
RHOC	2074
PPM1J	2
FAM19A3	3
LINC01356	24
SLC16A1	8
AKR7A2P1	1
SLC16A1-AS1	2
LOC100996251	0
LRIG2	88
LOC643441	0
MAGI3	392
PHTF1	80
RSBN1	565
AP4B1-AS1	3
PTPN22	6
BCL2L15	4
AP4B1	114
DCLRE1B	128
HIPK1-AS1	11
HIPK1	274
OLFML3	2
SYT6	0
TRIM33	872
BCAS2	385
DENND2C	0
AMPD1	1
NRAS	1090
CSDE1	11193
SIKE1	210
SYCP1	0
TSHB	0
TSPAN2	30
NGF	29
VANGL1	303
CASQ2	3
NHLH2	1
LOC101928995	0
LOC101928977	0
SLC22A15	35
MAB21L3	0
ATP1A1	6325
ATP1A1-AS1	2993
LOC101929023	0
CD58	178
IGSF3	7
C1orf137	0
CD2	0
PTGFRN	2
CD101	0
LOC101929099	0
TTF2	226
TRIM45	36
VTCN1	0
LINC01525	0
MAN1A2	730
LOC100996263	0
FAM46C	117
GDAP2	105
WDR3	351
SPAG17	3
TBX15	3
WARS2	100
WARS2-IT1	0
LOC101929147	28
HAO2	0
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	3
LINC00622	8
ZNF697	98
PHGDH	1
HMGCS2	0
REG4	0
NBPF7	1
ADAM30	0
NOTCH2	376
FAM72B	349
HIST2H2BA	1
FCGR1B	1
SRGAP2-AS1	0
SRGAP2B	29
SRGAP2D	77
EMBP1	18
ANKRD20A12P	0
LOC102723769	0
RNU1-13P	1
LOC100132057	11
LINC01138	34
PPIAL4G	42
FAM72D	331
FAM72C	676
NBPF20	300
LINC00623	157
LINC00869	72
PPIAL4A	20
PPIAL4C	27
PFN1P2	10
NBPF9	516
NBPF8	432
LOC653513	0
PDE4DIP	92
SEC22B	246
NOTCH2NL	243
NBPF25P	1567
NBPF10	75
LOC101928979	0
HFE2	0
TXNIP	1973
POLR3GL	962
ANKRD34A	21
LIX1L	995
RBM8A	3825
GNRHR2	4
PEX11B	90
ITGA10	43
ANKRD35	0
PIAS3	378
NUDT17	70
POLR3C	253
RNF115	500
CD160	58
PDZK1	20
GPR89A	241
PDZK1P1	5
NBPF11	387
NBPF12	2
LOC728989	0
RNVU1-8	0
NBPF13P	0
PRKAB2	108
PDIA3P1	161
FMO5	0
CHD1L	535
LINC00624	1
BCL9	119
ACP6	178
GJA5	0
GJA8	0
GPR89B	115
LOC101927468	1
RNVU1-19	4
PPIAL4F	31
PPIAL4D	15
PPIAL4E	15
NBPF14	534
NBPF15	499
LOC101060524	0
DRD5P2	0
LOC645166	139
LOC388692	1
FAM231D	9
FCGR1C	2
LOC103091866	24
RNVU1-20	36
HIST2H2BF	0
FCGR1A	1
HIST2H3D	1
HIST2H4B	12
HIST2H4A	22
HIST2H3C	15
HIST2H3A	7
HIST2H2AA3	104
HIST2H2AA4	222
HIST2H2BC	3
HIST2H2BE	39
HIST2H2AC	59
HIST2H2AB	7
BOLA1	56
SV2A	0
SF3B4	302
MTMR11	84
OTUD7B	249
VPS45	123
PLEKHO1	732
ANP32E	2680
CA14	3
APH1A	8564
C1orf54	15
CIART	49
MRPS21	516
PRPF3	565
RPRD2	518
TARS2	183
ECM1	55
FALEC	7
ADAMTSL4	15
ADAMTSL4-AS1	21
MCL1	4623
ENSA	2473
GOLPH3L	205
HORMAD1	0
CTSS	101
CTSK	19
ARNT	303
SETDB1	318
CERS2	1830
ANXA9	9
FAM63A	25
PRUNE	275
BNIPL	3
C1orf56	975
CDC42SE1	1031
MLLT11	22
GABPB2	18
SEMA6C	47
TNFAIP8L2-SCNM1	343
TNFAIP8L2	1
LYSMD1	28
SCNM1	34
TMOD4	5
VPS72	967
PIP5K1A	766
PSMD4	3866
ZNF687	315
PI4KB	506
RFX5	131
GBAT2	19
SELENBP1	127
PSMB4	1527
POGZ	697
CGN	18
TUFT1	738
SNX27	326
CELF3	1
RIIAD1	0
MRPL9	538
OAZ3	10
TDRKH	67
LINGO4	0
RORC	2
C2CD4D	5
LOC100132111	2
THEM5	2
THEM4	105
S100A10	3994
NBPF18P	0
S100A11	2229
LOC100131107	0
TCHHL1	0
TCHH	2
RPTN	0
HRNR	1
FLG	45
FLG-AS1	46
FLG2	3
CRNN	1
LCE5A	1
CRCT1	0
LCE3E	0
LCE3D	0
LCE3C	0
LCE3B	0
LCE3A	0
LCE2D	0
LCE2C	0
LCE2B	0
LCE2A	0
LCE4A	0
C1orf68	0
KPRP	0
LCE1F	0
LCE1E	0
LCE1D	0
LCE1C	0
LCE1B	0
LCE1A	0
LCE6A	0
SMCP	0
IVL	0
SPRR4	0
SPRR1A	0
SPRR3	0
SPRR1B	0
SPRR2D	2
SPRR2A	0
SPRR2B	0
SPRR2E	0
SPRR2F	0
SPRR2C	0
